PAR_CODE;PAR_OMS;CASnummer;parametergroup0;parametergroup1;parametergroup2;DATUM_STATUS;STATUS
14DiC3yeBen;1,4-di-isopropylbenzeen;100-18-5;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
TMPD;tetramethyl-1,4-benzeendiamine;100-22-1;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
NaClO5H2O;natriumhypochloriet pentahydraat;10022-70-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
4NO2DC1yAn;4-nitrodimethylaniline;100-23-2;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
N2O;distikstofoxide (lachgas);10024-97-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
14DNO2Ben;1,4-dinitrobenzeen;100-25-4;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
No;nobelium;10028-14-5;FYSISCH-CHEMISCH;ChemischeStof;;7-1-2012;Gepubliceerd
ozn;ozon;10028-15-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
H3;tritium;10028-17-8;FYSISCH-CHEMISCH;ChemischeStof;;25-11-2011;Gepubliceerd
C15azr;pentadecaanzuur;1002-84-2;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
hydznSO4;hydrazinesulfaat;10034-93-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C2yBen;ethylbenzeen;100-41-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
styrn;styreen;100-42-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
AlSO4;aluminiumsulfaat;10043-01-3;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
boorzr;boorzuur;10043-35-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Au198;goud 198;10043-49-9;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
