PAR_CODE;PAR_OMS;CASnummer;parametergroup0;parametergroup1;parametergroup2;DATUM_STATUS;STATUS
cidbe218;C.I. Direct Blue 218;28407-37-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
biormtn;bioresmethrin;28434-01-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
rosvstne;rosuvastatine;287714-41-4;FYSISCH-CHEMISCH;ChemischeStof;;17-11-2012;Gepubliceerd
bromdoln;bromadiolon;28772-56-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
ccC5a;cyclopentaan;287-92-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
alpzlm;alprazolam;28981-97-7;FYSISCH-CHEMISCH;ChemischeStof;;17-11-2012;Gepubliceerd
OcClsrn;octachloorstyreen;29082-74-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
benzxmt;benzoximaat;29104-30-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
atnll;atenolol;29122-68-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C2yClprfs;ethylchloorpyrifos;2921-88-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yprmfs;methylpirimifos;29232-93-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
cycC15a;cyclopentadecaan;295-48-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
cycC16a;cyclohexadecaan;295-65-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
24DClctEsr;2,4-D chloorcrotyl-ester;2971-38-2;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
teldn;telodrin;297-78-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tfosfmdn;trans-fosfamidon;297-99-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yprton;methylparathion;298-00-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
cmevfs;cis-mevinfos;298-01-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fort;foraat;298-02-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
demtnO;demeton-O;298-03-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Dsftn;disulfoton;298-04-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
carbmzpne;carbamazepine;298-46-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
etofcb;ethiofencarb;29973-13-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fenClfs;fenchloorfos;299-84-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
crfmt;crufomaat;299-86-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
etdmrn;ethidimuron;30043-49-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
2C3yeBen;2-propenylbenzeen;300-57-2;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
amfAe;amfetamine;300-62-9;FYSISCH-CHEMISCH;ChemischeStof;;9-8-2014;Gepubliceerd
nald;naled;300-76-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yOxdmtn;methyloxydemeton;301-12-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
desC2ytC4yaz;desethylterbutylazine;30125-63-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
desC2ytbmtn;desethylterbumeton;30125-64-5;FYSISCH-CHEMISCH;ChemischeStof;;7-4-2012;Gepubliceerd
hydzne;hydrazine;302-01-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Clahdt;chloralhydraat;302-17-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
clompmne;clomipramine;303-49-1;FYSISCH-CHEMISCH;ChemischeStof;;17-11-2012;Gepubliceerd
C1y1C1yC2ycc;methyl(1-methylethyl)cyclohexanol;30350-73-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
iC3yantnlAd;isopropylanthranilamide;30391-89-0;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
succmr;succimer;304-55-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
parfAh;paraformaldehyde;30525-89-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
OamOxme;oxamyl-oxime;30558-43-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
acft;acefaat;30560-19-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
metbmrn;metobromuron;3060-89-7;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
pirmcdC1y;pirimicarb-desmethyl;30614-22-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
bisTClC1ysfn;bis(trichloormethyl)sulfon;3064-70-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
HCFK123;2,2-dichloor-1,1,1-trifluorethaan;306-83-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PFHxA;perfluorhexaanzuur;307-24-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PFOSF;perfluorooctaansulfonylfluoride;307-35-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PFDoA;perfluordodecaanzuur;307-55-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
aldn;aldrin;309-00-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
icbmd;iso-carbamid;30979-48-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
iffOon;isofenfos-oxon;31120-85-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yFysfn;methylfenylsulfon;3112-85-4;FYSISCH-CHEMISCH;ChemischeStof;;29-5-2014;Gepubliceerd
paroonC2y;paraoxon-ethyl;311-45-5;FYSISCH-CHEMISCH;ChemischeStof;;7-4-2012;Gepubliceerd
Dcloxclne;dicloxacilline;3116-76-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
cisoe7;C.I. Solvent Orange 7;3118-97-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
proptfs;propetamfos;31218-83-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
mebdzl;mebendazol;31431-39-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
bromcl;bromacil;314-40-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
campsfzr;camphorsulfonzuur;3144-16-9;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
PCB118;2,3',4,4',5-pentachloorbifenyl;31508-00-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
polxtnuCl;polixetoniumchloride;31512-74-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
mexcbt;mexacarbaat;315-18-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
1Fy1C5e3on;1-fenyl-1-penteen-3-on;3152-68-9;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
allprnl;allopurinol;315-30-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
etfbt;etofibraat;31637-97-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
122TClC3a;1,2,2-trichloorpropaan;3175-23-3;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
fenpfn;fenoprofen;31879-05-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
toccm;thiocyclam;31895-21-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
propnllHCL;propranolol-hydrochloride;318-98-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fenamfSO;fenamifos-sulfoxide;31972-43-7;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
fenamfsfn;fenamifos-sulfon;31972-44-8;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
aHCH;alfa-hexachloorcyclohexaan;319-84-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
bHCH;beta-hexachloorcyclohexaan;319-85-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
dHCH;delta-hexachloorcyclohexaan;319-86-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
23DClNO2Ben;2,3-dichloornitrobenzeen;3209-22-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
texnbzFt;texanolbenzylftalaat;32333-99-6;FYSISCH-CHEMISCH;ChemischeStof;;17-5-2014;Gepubliceerd
ATCD;acetylcedreen;32388-55-9;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
2C1ox4NO2Fol;2-methoxy-4-nitrofenol;3251-56-7;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
PCB66;2,3,4,4-tetrachloorbifenyl;32598-10-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB70;2,3',4',5-tetrachloorbifenyl;32598-11-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB77;3,3',4,4'-tetrachloorbifenyl;32598-13-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB105;2,3,3',4,4'-pentachloorbifenyl;32598-14-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCDD75;1,2,3,4,6,7,8,9-octachloordibenzo-p-dioxine;3268-87-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB74;2,4,4',5-tetrachloorbifenyl;32690-93-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB169;3,3',4,4',5,5'-hexachloorbifenyl;32774-16-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
TClnt;trichloronaat;327-98-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
procmdn;procymidon;32809-16-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
25DNO2Fol;2,5-dinitrofenol;329-71-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Durn;diuron;330-54-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
linrn;linuron;330-55-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
pactxl;paclitaxel;33069-62-4;FYSISCH-CHEMISCH;ChemischeStof;;30-10-2014;Gepubliceerd
amtz;amitraz;33089-61-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB10;2,6-dichloorbifenyl;33146-45-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
bedsfn;beta-endosulfan;33213-65-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fluClaln;fluchloralin;33245-39-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Daznn;diazinon;333-41-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
aslm;asulam;3337-71-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C10azr;decaanzuur;334-48-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Dtann;dithianon;3347-22-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
DazC1a;diazomethaan;334-88-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tembtone;tembotrione;335104-84-2;FYSISCH-CHEMISCH;ChemischeStof;;29-5-2014;Gepubliceerd
PFOA;perfluoroctaanzuur;335-67-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PFDA;perfluordecaanzuur;335-76-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
L_PFDS;perfluor-1-decaansulfonaat (lineair);335-77-3;FYSISCH-CHEMISCH;ChemischeStof;;13-9-2014;Gepubliceerd
butln;butralin;33629-47-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
terbmtn;terbumeton;33693-04-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
endsfetr;endosulfanether;3369-52-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
DPMI;cashmeran;33704-61-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Tcsn;triclosan;3380-34-5;FYSISCH-CHEMISCH;ChemischeStof;;17-11-2012;Gepubliceerd
temfs;temefos;3383-96-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tmevfs;trans-mevinfos;338-45-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
codlmn;codlemon;33956-49-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB155;2,2',4,4',6,6'-hexachloorbifenyl;33979-03-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tebturn;tebuthiuron;34014-18-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
brmrn;bromuron;3408-97-7;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
14iC3yFy3C1y;1-(4-isopropylfenyl)-3-methylureum;34123-57-4;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
iptrn;isoproturon;34123-59-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Dmfrn;dimefuron;34205-21-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
24DDE;2,4'-dichloordifenyldichlooretheen;3424-82-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
actCl;acetochloor;34256-82-1;FYSISCH-CHEMISCH;ChemischeStof;;7-4-2012;Gepubliceerd
3C16e;3-hexadeceen;34303-81-6;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
DC3yegcC1yEt;dipropyleenglycolmonomethylether;34590-94-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
orbcb;orbencarb;34622-58-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
protofs;prothiofos;34643-46-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
butcbOxm;butocarboxim;34681-10-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
butcbOxmsfn;butocarboximsulfon;34681-23-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
butcbOxmSO;butocarboximsulfoxide;34681-24-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
2356T4ClAn;2,3,5,6-tetrachlooraniline;3481-20-7;FYSISCH-CHEMISCH;ChemischeStof;;29-1-2014;Gepubliceerd
amsbm;amisulbrom;348635-87-0;FYSISCH-CHEMISCH;ChemischeStof;;16-10-2014;Gepubliceerd
2C3y2C7eal;2-propyl-2-heptenal;34880-43-8;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
buppon;bupropion;34911-55-2;FYSISCH-CHEMISCH;ChemischeStof;;17-11-2012;Gepubliceerd
PCB153;2,2',4,4',5,5'-hexachloorbifenyl;35065-27-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB138;2,2',3,4,4',5'-hexachloorbifenyl;35065-28-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB180;2,2',3,4,4',5,5'-heptachloorbifenyl;35065-29-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB170;2,2',3,3',4,4',5-heptachloorbifenyl;35065-30-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
ciard52;C.I. Acid Red 52;3520-42-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tebtm;tebutam;35256-85-0;FYSISCH-CHEMISCH;ChemischeStof;;7-4-2012;Gepubliceerd
6Cl24DNO2An;6-chloor-2,4-dinitroaniline;3531-19-9;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
halon1211;broomchloordifluormethaan;353-59-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Dfbzrn;diflubenzuron;35367-38-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
sulpfs;sulprofos;35400-43-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
HCFK121a;1,1,1,2-tetrachloor-2-fluorethaan;354-11-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
HCFK121;1,1,2,2-tetrachloor-1-fluorethaan;354-14-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
pClmcsl;p-chloor-m-cresol;35421-08-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
HCFK123a;1,2-dichloor-1,1,2-trifluorethaan;354-23-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
HCFK124a;1-chloor-1,1,2,2-tetrafluorethaan;354-25-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
L_PFHxS;perfluor-1-hexaansulfonaat (lineair);355-46-4;FYSISCH-CHEMISCH;ChemischeStof;;13-9-2014;Gepubliceerd
imzll;imazalil;35554-44-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
azmtfs;azamethifos;35575-96-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
134DClFy3C1y;1-(3,4-dichloorfenyl)-3-methylureum;3567-62-2;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
12DBr24DCNC4;1,2-dibroom-2,4-dicyanobutaan;35691-65-7;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
PCB52;2,2',5,5'-tetrachloorbifenyl;35693-99-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB137;2,2',3,4,4',5-hexachloorbifenyl;35694-06-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB194;2,2',3,3',4,4',5,5'-octachloorbifenyl;35694-08-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
brucne;brucine;357-57-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCDD73;1,2,3,4,6,7,8-heptachloordibenzo-p-dioxine;35822-46-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
HCFK131;1,2,2-trichloorfluorethaan (Fc-131);359-28-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tfluoxsbn;trans-fluoxastrobin;361377-29-9;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
C4yBensfAd;butylbenzeensulfonamide;3622-84-2;FYSISCH-CHEMISCH;ChemischeStof;;28-8-2011;Gepubliceerd
C1yHgbzat;methylkwikbenzoaat;3626-13-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
DC7yFt;diheptylftalaat;3648-21-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
MCPANazt;MCPA natriumzout;3653-48-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
DC1yTS;dimethyltrisulfide;3658-80-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
TC4ySn;tributyltin (kation);36643-28-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
1C16ol;1-hexadecanol;36653-82-4;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
ClFAn;chloorfluoraniline;367-21-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
ipDon;iprodion;36734-19-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
sulftp;sulfotep;3689-24-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
clfcnn;chloorfacinon;3691-35-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
desC2ysC4yat;desethylsebutylazine;37019-18-4;FYSISCH-CHEMISCH;ChemischeStof;;7-4-2012;Gepubliceerd
flucfrn;flucofuron;370-50-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
clenbtrl;clenbuterol;37148-27-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
valdmcne;validamycine;37248-47-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
metpll;metoprolol;37350-58-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fosmOon;fosmet-oxon;3735-33-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yDC1yDtocb;methyl dimethyldithiocarbamaat;3735-92-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
3Br1ClC3e;3-broom-1-chloorpropeen;3737-00-6;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
2bztazsfAd;2-benzothiazolsulfonamide;3741-80-8;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
mandppAd;mandipropamide;374726-62-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PFBA;perfluorbutaanzuur;375-22-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
L_PFBS;perfluor-1-butaansulfonaat (lineair);375-73-5;FYSISCH-CHEMISCH;ChemischeStof;;13-9-2014;Gepubliceerd
PFHpA;perfluorheptaanzuur;375-85-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
L_PFHpS;perfluor-1-heptaansulfonaat (lineair);375-92-8;FYSISCH-CHEMISCH;ChemischeStof;;13-9-2014;Gepubliceerd
PFNA;perfluornonaanzuur;375-95-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PFTeDA;perfluortetradecaanzuur;376-06-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fentoSO;fenthion-sulfoxide;3761-41-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fentosfn;fenthion-sulfon;3761-42-0;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
cifrd5;C.I. Food Red 5;3761-53-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
butrn;buturon;3766-60-7;FYSISCH-CHEMISCH;ChemischeStof;;7-4-2012;Gepubliceerd
fenbcb;fenobucarb;3766-81-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB18;2,2',5-trichloorbifenyl;37680-65-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB17;2,2',4-trichloorbifenyl;37680-66-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB101;2,2',4,5,5'-pentachloorbifenyl;37680-73-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
4C1ycarbzl;4-methylcarbazol;3770-48-7;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
2266T4ClccC6;2,2,6,6-tetrachloorcyclohexanon;3776-30-5;FYSISCH-CHEMISCH;ChemischeStof;;29-1-2014;Gepubliceerd
NNDalDClacAd;N,N-diallyldichlooracetamide;37764-25-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
iffAd;ifosfamide;3778-73-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
TBBPADM;tetrabroombifenol dimethyl;37853-61-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
In114m;indium 114m (metastabiel);378759-66-1;FYSISCH-CHEMISCH;ChemischeStof;;1-8-2014;Gepubliceerd
Lu177m;lutetium 177m (metastabiel);378765-68-5;FYSISCH-CHEMISCH;ChemischeStof;;1-8-2014;Gepubliceerd
Nb93m;niobium 93m (metastabiel);378782-82-2;FYSISCH-CHEMISCH;ChemischeStof;;1-8-2014;Gepubliceerd
Ag110m;zilver 110m (metastabiel);378784-24-8;FYSISCH-CHEMISCH;ChemischeStof;;1-8-2014;Gepubliceerd
Tc97m;technetium 97m (metastabiel);378784-44-2;FYSISCH-CHEMISCH;ChemischeStof;;1-8-2014;Gepubliceerd
Tc99m;technetium 99m (metastabiel);378784-45-3;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
Te123m;tellurium 123m (metastabiel);378784-49-7;FYSISCH-CHEMISCH;ChemischeStof;;1-8-2014;Gepubliceerd
Te127m;tellurium 127m (metastabiel);378784-51-1;FYSISCH-CHEMISCH;ChemischeStof;;1-8-2014;Gepubliceerd
Te129m;tellurium 129m (metastabiel);378784-52-2;FYSISCH-CHEMISCH;ChemischeStof;;1-8-2014;Gepubliceerd
flubzmne;flubenzimine;37893-02-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tganactn;trans-geranylaceton;3796-70-1;FYSISCH-CHEMISCH;ChemischeStof;;15-7-2011;Gepubliceerd
DOxbzfs;dioxabenzofos;3811-49-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
CO3;carbonaat;3812-32-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
etfs;etrimfos;38260-54-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB95;2,2',3,5',6-pentachloorbifenyl;38379-99-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB99;2,2',4,4',5-pentachloorbifenyl;38380-01-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
PCB87;2,2',3,4,5'-pentachloorbifenyl;38380-02-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
